SessionID, LoggingTime, TimeSince1970(ms), UID, RecNo, Hertz, Activity, MoveType, Wrist, Side, TimeStamp, DMRoll, DMPitch, DMYaw, DMRotX, DMRotY, DMRotZ, DMGrvX, DMGrvY, DMGrvZ, DMUAccelX, DMUAccelY, DMUAccelZ, DMQuatX, DMQuatY, DMQuatW, DMQuatZ,AccelroX, AceelroY, AceelroZ
20250124-1519,2025-01-24 15:19:39.051,1737749979051,u01, 11,100,movements,el-ex, lt, nd,35686.49873091667, 0.4437506112879261, -0.22201791060666076, 0.05140770755019785, -0.012160181999206543, 0.019508441910147667, -0.006613822188228369, 0.4187919795513153, 0.22019845247268677, -0.8809800744056702, -0.016188830137252808, 0.0036327093839645386, -0.015290677547454834, -0.11365071213414857, 0.21585520918425388, 0.9697884821066629,0.000546319858703886,0.3975372314453125,0.2237548828125,-0.898651123046875
20250124-1519,2025-01-24 15:19:39.062,1737749979062,u01, 12,100,movements,el-ex, lt, nd,35686.50874791667, 0.44321820413764296, -0.2218983932488872, 0.05122879400512632, -0.0035304753109812737, 0.007267221808433533, -0.006749909836798906, 0.41833415627479553, 0.2200818657875061, -0.8812267184257507, -0.02079695463180542, 0.0036730021238327026, -0.017424404621124268, -0.11357339079154528, 0.21561014041582766, 0.9698520996013863,0.0005030310182908375,0.4024505615234375,0.2263031005859375,-0.90069580078125
20250124-1519,2025-01-24 15:19:39.070,1737749979070,u01, 13,100,movements,el-ex, lt, nd,35686.51876491667, 0.4424333699336339, -0.22153421994744368, 0.05098954204536028, -0.014649787917733192, 0.007101541385054588, -0.012102331034839153, 0.4176766872406006, 0.21972660720348358, -0.8816271424293518, -0.015226185321807861, 0.006576478481292725, -0.01906871795654297, -0.1133710504151558, 0.21525204562669825, 0.9699553042342464,0.00047176416797412154,0.4039306640625,0.2194671630859375,-0.90374755859375
20250124-1519,2025-01-24 15:19:39.081,1737749979081,u01, 14,100,movements,el-ex, lt, nd,35686.52878191667, 0.4415409555766731, -0.2212028051239669, 0.050719546561476626, -0.01860964298248291, -0.0004905993118882179, -0.021160539239645004, 0.41692084074020386, 0.21940328180789948, -0.8820652961730957, -0.012990206480026245, 6.386637687683105e-05, -0.021682262420654297, -0.11318128170696153, 0.2148426028077611, 0.9700682831901501,0.0004279036780138795,0.40496826171875,0.2184600830078125,-0.9024810791015625
20250124-1519,2025-01-24 15:19:39.090,1737749979090,u01, 15,100,movements,el-ex, lt, nd,35686.53879891667, 0.44086983835319016, -0.22127113687427458, 0.05043987378985631, -0.00992016401141882, -0.004898030310869217, -0.01975545659661293, 0.41632238030433655, 0.21946994960308075, -0.882331371307373, -0.011354148387908936, -0.0010098814964294434, -0.020149707794189453, -0.11318423670623745, 0.21453123954279754, 0.9701368909374005,0.00032270668188615987,0.4035491943359375,0.2202606201171875,-0.90386962890625
20250124-1519,2025-01-24 15:19:39.101,1737749979101,u01, 16,100,movements,el-ex, lt, nd,35686.54881591667, 0.4399075416652836, -0.22148447256050594, 0.050120258095177554, -0.006286813411861658, -0.020955558866262436, -0.020184490829706192, 0.4154531955718994, 0.21967807412147522, -0.8826891779899597, -0.011904031038284302, 0.0005825310945510864, -0.021180450916290283, -0.11325321605187202, 0.21407734805293877, 0.9702291850678694,0.00019870376523044357,0.4069976806640625,0.2160491943359375,-0.90130615234375
20250124-1519,2025-01-24 15:19:39.112,1737749979112,u01, 17,100,movements,el-ex, lt, nd,35686.55883391667, 0.43877293439556336, -0.22166073826439758, 0.04982313519135668, -0.003993332386016846, -0.027935506775975227, -0.008064446039497852, 0.41443493962287903, 0.21985003352165222, -0.8831249475479126, -0.007437318563461304, -0.0038008540868759155, -0.018181264400482178, -0.11330678358067325, 0.21353948543096563, 0.9703413977080346,9.949886075620614e-05,0.4066162109375,0.2162322998046875,-0.89837646484375
20250124-1519,2025-01-24 15:19:39.149,1737749979149,u01, 18,100,movements,el-ex, lt, nd,35686.56885091667, 0.437991316122488, -0.22171004798903288, 0.04966653799182413, -0.0022979644127190113, -0.026942413300275803, -0.004519778769463301, 0.413739949464798, 0.21989813446998596, -0.883438766002655, -0.007123768329620361, -0.0036658495664596558, -0.01493769884109497, -0.11331394325303644, 0.2131679381711946, 0.9704222422150834,6.240880809556136e-05,0.4032745361328125,0.2178802490234375,-0.8942413330078125
20250124-1519,2025-01-24 15:19:39.154,1737749979154,u01, 19,100,movements,el-ex, lt, nd,35686.588884916666, 0.4362338773582431, -0.22208090105387743, 0.04929628831931626, -0.017967188730835915, -0.0107717989012599, -0.013573194853961468, 0.4121522605419159, 0.220259889960289, -0.8840905427932739, -0.007565498352050781, -0.0037682056427001953, -0.010074496269226074, -0.11345429447288614, 0.21232722614416213, 0.9705901349958691,-5.806411803912013e-05,0.4045867919921875,0.21649169921875,-0.8941650390625
20250124-1519,2025-01-24 15:19:39.153,1737749979153,u01, 20,100,movements,el-ex, lt, nd,35686.578867916665, 0.43715085495560707, -0.2218564398923849, 0.04949657732209601, -0.009528430178761482, -0.020925365388393402, -0.00728280795738101, 0.4129836857318878, 0.2200409471988678, -0.8837569952011108, -0.009709179401397705, -0.0021607130765914917, -0.01048433780670166, -0.11336677853677975, 0.2127662370290347, 0.9705042084562316,1.1586405715165328e-05,0.4062957763671875,0.2173004150390625,-0.8940582275390625
